abscodi,direction,latitude,longitude
076,"Carrer TRINXANT 65, 08026 Barcelona",41.4149569,2.1848885
067,"Carrer GARCILASO 138, 08027 Barcelona",41.4233044,2.1835337
075,"Carrer MALLORCA 591, 08026 Barcelona",41.4111777,2.1855153
039,"Carrer BERLIN 71, 08029 Barcelona",41.3838935,2.1398647
072,"Carrer MARIA AGUILO 53, 08005 Barcelona",41.4024223,2.2014823
023,"Carrer PROVENÇA 71, 08029 Barcelona",41.3852599,2.1484584
049,"Plaça LESSEPS 11, 08023 Barcelona",41.407019,2.1510484
019,"Carrer CARRETES 35, 08001 Barcelona",41.3774386,2.1674868
395,"Carrer DEL MERCAT 11, 08030 Barcelona",41.4346627,2.1891112
042,"Carrer FERRAN AGULLO 4, 08021 Barcelona",41.3950515,2.141603
031,"Avinguda GAUDI 85, 08025 Barcelona",41.4106732,2.1741345
029,"Carrer PROVENÇA 506, 08025 Barcelona",41.4066887,2.1777452
027,"Passeig GRACIA 50, 08007 Barcelona",41.3920533,2.1657372
040,"Carrer SOLA 1, 08014 Barcelona",41.3870018,2.1323461
077,"Carrer CLOT 50, 08018 Barcelona",41.4073607,2.1881429
017,"Carrer VIA LAIETANA 40, 08003 Barcelona",41.3860482,2.1764343
022,"Carrer DIPUTACIO 106, 08015 Barcelona",41.3814093,2.1553395
031,"Carrer SARDENYA 334, 08025 Barcelona",41.4042387,2.1726469
025,"Carrer ENRIC GRANADOS 117, 08008 Barcelona",41.3930496,2.1552486
046,"Carrer BALMES 395, 08022 Barcelona",41.4064067,2.1386629
358,"Travessera DE DALT 91, 08024 Barcelona",41.4109835,2.1569059
077,"Carrer CLOT 184, 08026 Barcelona",41.4124568,2.1901426
029,"Carrer VALENCIA 418, 08013 Barcelona",41.4018429,2.1757319
041,"Carrer ARIZALA 48, 08028 Barcelona",41.3779153,2.1242528
018,"Plaça REGOMIR 3, 08002 Barcelona",41.38151310000001,2.1787656
045,"Carrer MAJOR DE SARRIA 188, 08017 Barcelona",41.4022467,2.1193084
047,"Carrer INDUSTRIA 80, 08025 Barcelona",41.4058689,2.1697739
020,"Carrer CARME 23, 08001 Barcelona",41.3821622,2.170747
027,"Carrer ARAGO 286, 08009 Barcelona",41.3933513,2.1667237
028,"Carrer PADILLA 156, 08013 Barcelona",41.4007801,2.1839925
047,"Carrer SARDENYA 487, 08025 Barcelona",41.4095456,2.1649505
047,"Carrer CORSEGA 446, 08037 Barcelona",41.4021971,2.1673399
024,"Carrer ARIBAU 18, 08011 Barcelona",41.3864857,2.1622625
019,"Carrer SANT ANTONI ABAT 1, 08001 Barcelona",41.37933,2.16583
025,"Carrer MUNTANER 184, 08036 Barcelona",41.3924704,2.1519818
048,"Passeig DE GRACIA 129, 08008 Barcelona",41.3975422,2.1576492
075,"Avinguda MERIDIANA 117, 08026 Barcelona",41.408093,2.1865057
024,"Plaça CATALUNYA 1, 08002 Barcelona",41.3860439,2.1692976
036,"Carrer SANTS 145, 08028 Barcelona",41.3753619,2.1330756
018,"Rambla LA RAMBLA 44, 08002 Barcelona",41.3794866,2.1750545
021,"Gran Via CORTS CATALANES 470, 08015 Barcelona",41.3795529,2.1555989
025,"Carrer BALMES 94, 08008 Barcelona",41.3915969,2.1600281
027,"Carrer ROGER DE LLURIA 51, 08009 Barcelona",41.3933958,2.1683152
055,"Carrer ROIG I SOLER 5-7, 08035 Barcelona",41.4676866,2.2416204
027,"Carrer GIRONA 90, 08009 Barcelona",41.39613380000001,2.1695697
048,"Carrer SANT DOMENEC 20, 08012 Barcelona",41.4000067,2.1569004
019,"Avinguda PARAL.LEL 48, 08001 Barcelona",41.3751027,2.1716431
075,"Carrer ARAGO 537, 08026 Barcelona",41.40654079999999,2.1838101
048,"Travessera DE GRACIA 166, 08012 Barcelona",41.4012438,2.1578061
076,"Carrer MUNTANYA 79, 08026 Barcelona",41.4120207,2.1845053
028,"Passeig SANT JOAN 3, 08010 Barcelona",41.39182659999999,2.1790293
025,"Carrer MALLORCA 131, 08036 Barcelona",41.3872764,2.1536509
020,"Rambla CANALETES 121, 08002 Barcelona",41.384856,2.1704856
016,"Carrer SANT CARLES 7, 08003 Barcelona",41.3790544,2.1887021
