direction,latitude,longitude,abscodi
"Ronda SANT ANTONI 106, 08001 Barcelona",41.38517400000001,2.1641837,020
"Rambla CANALETES 121, 08002 Barcelona",41.384856,2.1704856,020
"Carrer FELIP II 224, 08027 Barcelona",41.4277126,2.1783234,067
"Passeig MARAGALL 170, 08027 Barcelona",41.4249725,2.176822,067
"Carrer JOAN GUELL 174, 08028 Barcelona",41.383975,2.1312341,039
"Carrer GALILEU 250, 08028 Barcelona",41.3824942,2.1329748,039
"Carrer GRAN VIA CORTS CATALANES 216, 08004 Barcelona",41.3693615,2.1420336,033
"Gran Via CORTS CATALANES 278, 08004 Barcelona",41.3714276,2.1447742,033
"Carrer COMTE D'URGELL 132, 08011 Barcelona",41.3850392,2.1550043,025
"Rambla CATALUNYA 77, 08007 Barcelona",41.3916222,2.1624085,025
"Carrer SANT RAMON DE PENYAFORT 3, 08019 Barcelona",41.4136298,2.2205127,074
"Rambla PRIM 25, 08019 Barcelona",41.4120161,2.2176331,074
"Carrer ANGLI 4 BIS, 08017 Barcelona",41.4031654,2.1231637,044
"Carrer GANDUXER 5, 08021 Barcelona",41.39219200000001,2.138641,044
"Carrer GUIPUZCOA 21 BIS, 08018 Barcelona",41.4142125,2.1937565,078
"Carrer MENORCA 6, 08020 Barcelona",41.4171386,2.193875,078
"Carrer URGELL 241, 08036 Barcelona",41.3909263,2.1466496,023
"Avinguda SARRIA 31, 08029 Barcelona",41.3900821,2.144756,023
"Carrer SARDENYA 487, 08025 Barcelona",41.4095456,2.1649505,047
"Carrer TORRENT DE LES FLORS 45, 08024 Barcelona",41.4059561,2.1603256,047
"Passatge ANTONI GASSOL 22, 08018 Barcelona",41.413134,2.196346,331
"Carrer FLUVIA 216, 08020 Barcelona",41.41508,2.1961934,331
"Avinguda DIAGONAL 32, 08019 Barcelona",41.4102865,2.213470500000001,073
"Avinguda DIAGONAL 68, 08019 Barcelona",41.4096654,2.2102363,073
"Avinguda LA CATALANA 125, 08930 Barcelona",41.4234408,2.2218182,312
"Avinguda MANUEL FERNANDEZ MARQUEZ 73-75, 08930 Barcelona",41.4182286,2.2226483,312
"Avinguda DE SARRIA 52-54, 08029 Barcelona",41.3910187,2.1410401,040
"Passeig MANUEL GIRONA 28, 08034 Barcelona",41.39058929999999,2.1226052,040
"Carrer ROIG I SOLER 5-7, 08035 Barcelona",41.4676866,2.2416204,055
"Avinguda ELIES PAGES 20, 08035 Barcelona",41.4281427,2.133708,055
"Avinguda DIAGONAL 180, 08018 Barcelona",41.4053955,2.1941276,071
"Rambla POBLENOU 134-136, 08018 Barcelona",41.4047408,2.1968501,071
"Carrer MALLORCA 621, 08026 Barcelona",41.4130512,2.1879997,077
"Gran Via CORTS CATALANES 931-941, 08018 Barcelona",41.4102107,2.1951066,077
"Carrer LUIS SAGNIER 55, 08032 Barcelona",41.425245,2.1735902,326
"Carrer AMILCAR 151, 08032 Barcelona",41.4242865,2.1727717,326
"Carrer GRAN VISTA 135, 08032 Barcelona",41.418715,2.1575361,051
"Carrer ALBERT LLANAS 28, 08024 Barcelona",41.4168398,2.15809,051
"Avinguda MERIDIANA 361, 08016 Barcelona",41.428217,2.1841168,385
"Carrer PARDO 17, 08016 Barcelona",41.4278398,2.1824295,385
"Carrer SOVELLES 11, 08038 Barcelona",41.3526666,2.142622,034
"Carrer FONERIA 18, 08038 Barcelona",41.3599223,2.1374536,034
"Carrer MONTSERRAT DE CASANOVAS 14, 08032 Barcelona",41.4236768,2.1688109,054
"Carrer ALT DE PEDRELL 58, 08032 Barcelona",41.4262147,2.1690457,054
"Carrer COMTE D'URGELL 95, 08011 Barcelona",41.3839399,2.1558844,022
"Avinguda ROMA 18, 08015 Barcelona",41.3808365,2.1451337,022
"Carrer COMTAL 25, 08002 Barcelona",41.3867828,2.1739419,018
"Carrer SANTA ANNA 21, 08002 Barcelona",41.3853775,2.1714473,018
"Carrer ALBAREDA 6-8, 08004 Barcelona",41.37378289999999,2.1742113,032
"Passeig MONTJUIC 36, 08004 Barcelona",41.37232950000001,2.1709142,032
"Carrer GRAN VIA CORTS CATALANES 1157, 08020 Barcelona",41.4181104,2.2072551,079
"Carrer GRAN VIA DE LES CORTS CATALANES 1179-1181, 08020 Barcelona",41.4220388,2.2106877,079
"Carrer ROS D'OLANO 15, 08012 Barcelona",41.4268752,2.1825086,048
"Plaça RIUS i TAULET 4, 08012 Barcelona",41.3841423,2.1726373,048
"Carrer TISSO 4, 08016 Barcelona",41.4428033,2.1847622,327
"Carrer VILA-REAL 3-5, 08033 Barcelona",41.4504268,2.1847306,327
"Plaça VALLVIDRERA 5, 08017 Barcelona",41.4129592,2.1047223,045
"Carretera SARRIA A VALLVIDRERA 82, 08017 Barcelona",41.408693,2.1099486,045
"Carrer SEGRE 100, 08030 Barcelona",41.4307988,2.1946556,395
"Carrer ROVIRA VIRGILI 6, 08030 Barcelona",41.4280333,2.1897219,395
"Avinguda MADRID 8, 08028 Barcelona",41.3759925,2.1239376,036
"Carrer ALCANTARA 1, 08042 Barcelona",41.4451986,2.1717544,063
"Carrer BISBE CATALA 8, 08034 Barcelona",41.3953266,2.113863,041
"Passeig MARE DE DEU DEL COLL 150, 08023 Barcelona",41.4201561,2.1491596,050
"Gran Via CORTS CATALANES 763, 08013 Barcelona",41.4017252,2.1840789,030
"Carrer GRAN DE GRACIA 167, 08012 Barcelona",41.4030083,2.1521995,049
