Carrer SANTALO 3, 08021 Barcelona
Carrer PROVENÇALS 256, 08020 Barcelona
Carrer SANT GAUDENCI 11, 08031 Barcelona
Carrer MURTRA 8, 08032 Barcelona
Passeig MARE DE DEU DEL COLL 150, 08023 Barcelona
Carrer CORSEGA 369, 08037 Barcelona
Carrer SUGRANYES 11, 08028 Barcelona
Carrer CALATRAVA 77, 08017 Barcelona
Carrer BETLEM 46, 08012 Barcelona
Carrer SELVA DEL MAR 273, 08020 Barcelona
Carrer ARIBAU 312 BIS, 08006 Barcelona
Carrer ALMAGRO 10, 08042 Barcelona
Carrer MESTRE DALMAU 2, 08031 Barcelona
Carrer LAFORJA 56, 08006 Barcelona
Avinguda GRAN VIA CORTS CATALANES 871, 08018 Barcelona
Carrer BOLIVIA 19, 08018 Barcelona
Carrer PADILLA 378, 08025 Barcelona
Carrer LISBOA 9, 08032 Barcelona
Carrer AMIGO 70, 08021 Barcelona
Carrer PARE PEREZ DEL PULGAR 16, 08033 Barcelona
Carrer GARCILASO 213, 08027 Barcelona
Carrer CORSEGA 526, 08025 Barcelona
Carrer ALELLA 12, 08016 Barcelona
Carrer RAVELLA 11, 08021 Barcelona
Carrer CASP 67, 08010 Barcelona
Carrer ALCALDE MOSTOLES 33, 08025 Barcelona
Carrer LLOBREGOS 206, 08032 Barcelona
Carrer BORI I FONTESTA 18, 08021 Barcelona
Carrer GUIPUZCOA 21 BIS, 08018 Barcelona
Carrer GANDUXER 129, 08022 Barcelona
Carrer HERZEGOVINA 4, 08021 Barcelona
Carrer PADILLA 338-340, 08025 Barcelona
Avinguda ICARIA 160, 08005 Barcelona
Carrer CASTILLEJOS 437, 08024 Barcelona
Carrer MASIA 2, 08110 Barcelona
Carrer ESCORIAL 23, 08024 Barcelona
Carrer CASANOVA 140, 08036 Barcelona
Carrer GUIPUSCOA 67-69, 08020 Barcelona
Avinguda PRINCEP D'ASTURIES 43-45, 08012 Barcelona
Avinguda BORBON 64, 08016 Barcelona
Carrer VALLSECA 30, 08024 Barcelona
Carrer ARENYS 108, 08035 Barcelona
Carrer PAU ALSINA 57, 08024 Barcelona
Carrer VALL D'ORDESA 10, 08031 Barcelona
Carrer ENAMORATS 5, 08013 Barcelona
Carrer LAFORJA 109, 08021 Barcelona
Plaça DE MONTBAU 7, 08035 Barcelona
Carrer RIU D'OR 33, 08034 Barcelona
Carrer TORNS 31, 08028 Barcelona
Ronda GENERAL MITRE 9, 08017 Barcelona
Carrer CONCA DE TREMP 64, 08032 Barcelona
Carrer PERPINYA 25, 08019 Barcelona
Carrer LUIS SAGNIER 55, 08032 Barcelona
Carrer VILADOMAT 90, 08015 Barcelona
Carrer SANTA ROSALIA 31, 08035 Barcelona
Carrer MARE DE DEU DEL PORT 385, 08038 Barcelona
Carrer RAMON ROCAFULL 95, 08032 Barcelona
Carrer BENET MATEU 32, 08034 Barcelona
Carrer VILLARROEL 251, 08036 Barcelona
Carrer LORETO 20, 08029 Barcelona
Carrer DOCTOR LETAMENDI 13, 08031 Barcelona
Passatge ANTONI GASSOL 22, 08018 Barcelona
Carrer GRAN VIA CORTS CATALANES 1158, 08020 Barcelona
Carrer ANDRADE 198, 08020 Barcelona
Carrer JULIAN BASTEIRO 3, 08020 Barcelona
Carrer JAUME FABRE 3, 08019 Barcelona
Ronda GENERAL MITRE 121, 08022 Barcelona
Carrer GASELA 8, 08042 Barcelona
Carrer MILANESAT 1, 08017 Barcelona
Carrer NAIM 1, 08035 Barcelona
Plaça MOSSEN CLAPES 9, 08030 Barcelona
Carrer VILADOMAT 198, 08029 Barcelona
Carrer ANGEL MARQUES 7, 08035 Barcelona
Carrer FRANCESC DE BOLOS 35, 08031 Barcelona
Carrer HARMONIA 1, 08035 Barcelona
Carrer SANTUARIS 113, 08032 Barcelona
Carrer PARDO 4, 08027 Barcelona
Carrer ESCORIAL 150, 08024 Barcelona
Carrer ENERGIA 9, 08038 Barcelona
Carrer GRAN VIA CORTS CATALANES 130-136, 08038 Barcelona
Carrer GUIPUZCOA 131, 08020 Barcelona
Carrer MINA DE LA CIUTAT 31, 08042 Barcelona
Carrer CALDERON DE LA BARCA 88, 08032 Barcelona
Carrer DOCTOR BOVE 121, 08032 Barcelona
Carrer GRAN VIA CORTS CATALANES 938, 08018 Barcelona
Carrer ALFONS V EL MAGNANIM 91, 08019 Barcelona
Carrer CONCILI DE TRENTO 318, 08020 Barcelona
